handle,name,platform,niche,followers,avg_engagement_rate,location,verified,fake_followers_pct
@tappuhoneyparmar0077,Tappu Honey Parmar,youtube,music,29100000,12.83,,FALSE,0
@rug,FaZe Rug,youtube,business,29000000,14.32,,FALSE,0
@jungkook,mnijungkook,tiktok,lifestyle,28900000,40,,TRUE,0
@enchufetv,enchufetv,youtube,lifestyle,28900000,14.77,,FALSE,0
@beyonce,Beyoncé,youtube,lifestyle,28900000,50,,FALSE,0
@postmalone,Post Malone,youtube,lifestyle,28800000,50,US,FALSE,0
@albert_cancook,albert_cancook,youtube,food,28600000,50,,FALSE,0
@coldplay,Coldplay,youtube,music,28400000,50,,FALSE,0
@sandeepseminars,Sandeep Maheshwari,youtube,education,28400000,13.21,IN,FALSE,0
@andrey.grechka,Andrey Grechka,youtube,comedy,28300000,40.02,,FALSE,0
@nickiminaj,Nicki Minaj,youtube,music,28100000,50,,FALSE,0
@techmastershort,Tech Master Shorts,youtube,tech,28100000,41.61,,FALSE,0
@korayzeynep,Koray Zeynep,youtube,lifestyle,28100000,21.06,,FALSE,0
@redbull,Red Bull,youtube,lifestyle,28000000,13.43,,FALSE,0
@davidguetta,David Guetta,youtube,music,27800000,50,,FALSE,0
@lucanpevidor,Lucan Pevidor,youtube,lifestyle,27700000,25.3,,FALSE,0
@worldstarhiphop,WORLDSTARHIPHOP,youtube,music,27700000,10.93,,FALSE,0
@pawansahu777,Pawan Sahu,youtube,business,27600000,19.99,,FALSE,0
@gh.s,GH'S,youtube,business,27600000,50,,FALSE,0
@toypudding,ToyPuddingTV,youtube,lifestyle,27500000,25.25,,FALSE,0
@youneszarou,Younes Zarou,youtube,gaming,27500000,40.97,,FALSE,0
@mariliamendoncareal,Marília Mendonça,youtube,lifestyle,27500000,50,,FALSE,0
@rkddigital,RKD Studios,youtube,lifestyle,27500000,19.32,,FALSE,0
@pinkshirtgirl,Pink Shirt Girl,youtube,lifestyle,27400000,50,,FALSE,0
@kajalsoni,Kajal Soni,youtube,lifestyle,27400000,37.54,,FALSE,0
@disneyjr,Disney Jr. ,youtube,music,27200000,16.49,,FALSE,0
@blippi,Blippi - Educational Videos for Kids,youtube,travel,27100000,48,,FALSE,0
@wowkidzactiontv,Wow Kidz Action,youtube,lifestyle,27100000,5.25,,FALSE,0
@smosh,Smosh,youtube,lifestyle,27100000,18.5,,FALSE,0
@smol_official,SMOL,youtube,comedy,27100000,12.41,,FALSE,0
@rotanamusic,Rotana,youtube,music,27100000,11.51,,FALSE,0
@vijaykumarvinervlogs,Vijay Kumar Viner Vlogs,youtube,business,27000000,21.73,,FALSE,0
@mayaandmary,Maya and Mary,youtube,music,27000000,37.23,,FALSE,0
@nickpro,Nick Pro,youtube,lifestyle,27000000,50,,FALSE,0
@lalalalisa_m,LISA,tiktok,lifestyle,27000000,17.03,,TRUE,0
@dharmann,Dhar Mann Studios,youtube,lifestyle,27000000,39.73,,FALSE,0
@tiboinshape,Tibo InShape,youtube,fitness,26900000,12.23,,FALSE,0
@nomanofficial786,Noman Official,youtube,lifestyle,26700000,30.48,,FALSE,0
@bbkivines,BB Ki Vines,youtube,food,26600000,6.39,IN,FALSE,0
@zackdfilms,Zack D. Films,youtube,lifestyle,26600000,50,,FALSE,0
@msa.official,MSA,youtube,lifestyle,26600000,48.45,,FALSE,0
@anyakovaofficial,ANYA KOVA,youtube,comedy,26500000,18.74,,FALSE,0
@danrhodes,Dan Rhodes,youtube,lifestyle,26200000,42.29,,FALSE,0
@kiddiestvhindi,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,youtube,music,26100000,50,,FALSE,0
@vanossgaming,VanossGaming,youtube,gaming,26000000,29.11,US,FALSE,0
@chloeting,Chloe Ting,youtube,fitness,26000000,26.13,,FALSE,0
@khangsresearchcentre1685,Khan GS Research Centre,youtube,education,25900000,26.4,,FALSE,0
@enriqueiglesias,Enrique Iglesias,youtube,lifestyle,25900000,50,,FALSE,0
@watchmojo,WatchMojo.com,youtube,gaming,25900000,2.11,,FALSE,0
@ratitaspandilleras,Las Ratitas,youtube,lifestyle,25800000,50,,FALSE,0
@triggeredinsaan,Triggered Insaan,youtube,business,25800000,50,IN,FALSE,0
@lescopaque,Les' Copaque Production,youtube,lifestyle,25800000,20.31,,FALSE,0
@infinite,Infinite,youtube,business,25800000,14.39,US,FALSE,0
@jakefellman,Jake Fellman,youtube,lifestyle,25600000,50,,FALSE,0
@misskaty1133,Miss Katy,youtube,lifestyle,25600000,50,,FALSE,0
@netflixjr,Netflix Jr.,youtube,gaming,25400000,22.4,,FALSE,0
@corbuzier,Deddy Corbuzier,youtube,lifestyle,25300000,14.24,ID,FALSE,0
@ssundee,SSundee,youtube,gaming,25300000,18.19,,FALSE,0
@fgteev,FGTeeV,youtube,gaming,25300000,50,,FALSE,0
@kurzgesagt,Kurzgesagt ??In a Nutshell,youtube,lifestyle,25200000,40.94,DE,FALSE,0
@infobellsbengalirhymes,Infobells Bangla,youtube,music,25200000,50,,FALSE,0
@mrmaxlife,Mister Max,youtube,lifestyle,25200000,50,,FALSE,0
@mashaurso,Masha e o Urso,youtube,lifestyle,25200000,23.73,,FALSE,0
@sejalgaba02,Sejal Gaba,youtube,comedy,25100000,50,,FALSE,0
@vancityreynolds,Ryan Reynolds,tiktok,lifestyle,25100000,7.05,,TRUE,0
@jasonvlogslife,Jason Vlogs,youtube,travel,25100000,50,,FALSE,0
@djsnake,DJ Snake,youtube,lifestyle,25100000,50,US,FALSE,0
@daviddobrik,DAVID DOBRIK,tiktok,lifestyle,25000000,7.89,,TRUE,0
@brawlstars,Brawl Stars,youtube,gaming,25000000,43.85,,FALSE,0
@sia,Sia,youtube,lifestyle,24900000,50,,FALSE,0
@linkinpark,Linkin Park,youtube,lifestyle,24900000,50,US,FALSE,0
@ksiofficialmusic,KSI Music,youtube,music,24900000,20.04,GB,FALSE,0
@vsauce,Vsauce,youtube,lifestyle,24800000,41.61,,FALSE,0
@anatoly_pranks,ANATOLY,tiktok,lifestyle,24800000,5.77,,FALSE,0
@livbedumb,Olivia Rodrigo,tiktok,lifestyle,24800000,10.99,,TRUE,0
@nickyjamtv,NickyJamTV,youtube,lifestyle,24800000,50,,FALSE,0
@aphmau,Aphmau,youtube,gaming,24800000,20.36,,FALSE,0
@dualipa,Dua Lipa,youtube,food,24700000,3.72,GB,FALSE,0
@glentyoutube,????Т,youtube,lifestyle,24700000,22.06,,FALSE,0
@rihannavevo,RihannaVEVO,youtube,music,24700000,50,,FALSE,0
@yudistardhana,Yudist Ardhana,youtube,lifestyle,24600000,7.74,,FALSE,0
@pragativermaaashorts,Pragati Verma Shorts,youtube,business,24600000,36.81,,FALSE,0
@yana.chirkina,YANA CHIRKINA,youtube,lifestyle,24600000,13.09,,FALSE,0
@yuya,Yuya,youtube,lifestyle,24500000,15.77,,FALSE,0
@amitbhadana,Amit Bhadana,youtube,lifestyle,24400000,50,,FALSE,0
@eminemvevo,EminemVEVO,youtube,music,24300000,50,,FALSE,0
@ranwafamilyofficial,Ranwa Family,youtube,comedy,24300000,39.75,,FALSE,0
@coryxkenshin,CoryxKenshin,youtube,lifestyle,24300000,23.02,US,FALSE,0
@boxtoxtv,boxtoxtv,youtube,business,24200000,31.99,,FALSE,0
@katyperryvevo,KatyPerryVEVO,youtube,music,24200000,50,,FALSE,0
@superstar_lalli_dada,Superstar lalli dada,youtube,lifestyle,24200000,48.4,,FALSE,0
@drossrotzank,DrossRotzank,youtube,lifestyle,24100000,14.73,AR,FALSE,0
@cadelandmia,Cadel and Mia,youtube,lifestyle,24100000,17.68,,FALSE,0
